CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
334595802,12/07/2019,16:00:00,,,43.0,12/10/2019,341,PETIT LARCENY,321.0,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,BRONX,,STREET,N.Y. POLICE DEPT,0.0,,,,1023756.0,237245.0,,,,,40.81777830500005,-73.85727271499997,"(40.81777830500005, -73.85727271499997)",PATROL BORO BRONX,,65+,WHITE HISPANIC,M
387104863,12/09/2019,16:00:00,,,44.0,12/09/2019,341,PETIT LARCENY,333.0,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,BRONX,INSIDE,DEPARTMENT STORE,N.Y. POLICE DEPT,0.0,,,,1007080.0,245503.0,,,,,40.84050298200003,-73.91749223599999,"(40.84050298200003, -73.91749223599999)",PATROL BORO BRONX,,UNKNOWN,UNKNOWN,D
958780453,12/09/2019,15:17:00,,,120.0,12/09/2019,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,OTHER,N.Y. POLICE DEPT,0.0,,,,962748.0,174174.0,,,,,40.64472613100002,-74.07748315899995,"(40.64472613100002, -74.07748315899995)",PATROL BORO STATEN ISLAND,,18-24,BLACK,F
377065402,11/15/2019,15:00:00,11/15/2019,15:15:00,60.0,12/09/2019,578,HARRASSMENT 2,637.0,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0.0,,,,989220.0,149465.0,<18,BLACK,F,,40.57692970800008,-73.98211039599995,"(40.57692970800008, -73.98211039599995)",PATROL BORO BKLYN SOUTH,,18-24,BLACK,F
597539956,10/11/2019,10:30:00,12/09/2019,11:30:00,106.0,12/09/2019,109,GRAND LARCENY,412.0,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0.0,,,,1029960.0,182842.0,,,,,40.668426004000025,-73.83522842899998,"(40.668426004000025, -73.83522842899998)",PATROL BORO QUEENS SOUTH,,25-44,BLACK,M
815985199,12/08/2019,23:20:00,,,23.0,12/08/2019,578,HARRASSMENT 2,638.0,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,MANHATTAN,,STREET,N.Y. POLICE DEPT,0.0,,,,1000846.0,226964.0,25-44,BLACK,F,,40.78963253200004,-73.940068179,"(40.78963253200004, -73.940068179)",PATROL BORO MAN NORTH,,25-44,WHITE,M
563878986,12/08/2019,09:15:00,12/08/2019,11:00:00,61.0,12/08/2019,341,PETIT LARCENY,343.0,"LARCENY,PETIT OF BICYCLE",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,OTHER,N.Y. POLICE DEPT,0.0,,,,997460.0,152730.0,,,,,40.585883040000056,-73.95244160499993,"(40.585883040000056, -73.95244160499993)",PATROL BORO BKLYN SOUTH,,45-64,WHITE,F
296973097,12/08/2019,05:44:00,,,41.0,12/08/2019,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,,OUTSIDE,,N.Y. POLICE DEPT,,,,,1013902.0,238673.0,18-24,WHITE HISPANIC,M,,40.82173633200006,-73.89286725999993,"(40.82173633200006, -73.89286725999993)",,,18-24,WHITE HISPANIC,M
392243635,10/07/2019,08:00:00,,,121.0,12/08/2019,112,THEFT-FRAUD,739.0,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0.0,,,,937799.0,164184.0,,,,,40.61721002100006,-74.16731710099998,"(40.61721002100006, -74.16731710099998)",PATROL BORO STATEN ISLAND,,25-44,UNKNOWN,F
890408300,12/07/2019,00:45:00,12/07/2019,12:30:00,45.0,12/07/2019,341,PETIT LARCENY,321.0,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,BRONX,FRONT OF,OTHER,N.Y. POLICE DEPT,0.0,,,,1030326.0,257793.0,,,,,40.87414460700006,-73.83339523799998,"(40.87414460700006, -73.83339523799998)",PATROL BORO BRONX,,25-44,BLACK,F
