CMPLNT_NUM,ADDR_PCT_CD,KY_CD,PD_CD,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,Latitude,Longitude,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,CMPLNT_FR_TIMESTAMP,CMPLNT_TO_TIMESTAMP,RPT_TIMESTAMP
543423750,42.0,578,638.0,COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,WHITE,FEMALE,40.82948751200007,-73.89905911499993,45-64,WHITE,MALE,2019-04-09 18:30:00,,2019-04-10 00:00:00
280083420,52.0,107,221.0,COMPLETED,FELONY,BRONX,INSIDE,CONSTRUCTION SITE,,OTHER,OTHER,40.87095042100003,-73.89150077299998,UNKNOWN,OTHER,OTHER,2019-04-08 07:00:00,,2019-04-10 00:00:00
906549266,77.0,105,386.0,COMPLETED,FELONY,BROOKLYN,,STREET,<18,BLACK,MALE,40.67202564000007,-73.94084797799998,<18,BLACK,MALE,2019-04-09 15:00:00,,2019-04-09 00:00:00
157972141,73.0,578,638.0,COMPLETED,VIOLATION,BROOKLYN,,OTHER,UNKNOWN,OTHER,FEMALE,40.66214224700008,-73.91172952799997,65+,BLACK,MALE,2019-04-09 09:00:00,,2019-04-09 00:00:00
222999317,23.0,341,321.0,COMPLETED,MISDEMEANOR,MANHATTAN,,STREET,,OTHER,OTHER,40.796771337000045,-73.94509645599999,25-44,WHITE HISPANIC,MALE,2019-04-09 08:40:00,,2019-04-09 00:00:00
964879327,43.0,359,748.0,COMPLETED,MISDEMEANOR,BRONX,,STREET,45-64,BLACK,MALE,40.831369387000045,-73.86815295299994,45-64,BLACK,MALE,2019-04-08 07:00:00,,2019-04-09 00:00:00
465886807,103.0,104,153.0,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,18-24,WHITE HISPANIC,MALE,40.70704747500002,-73.79261190399995,<18,WHITE HISPANIC,FEMALE,2019-01-01 00:01:00,,2019-04-09 00:00:00
653324234,45.0,126,762.0,COMPLETED,FELONY,BRONX,INSIDE,DEPARTMENT STORE,<18,BLACK,FEMALE,40.83079891400007,-73.82694879599995,UNKNOWN,OTHER,OTHER,2019-04-08 19:37:00,,2019-04-08 00:00:00
644952565,47.0,344,101.0,COMPLETED,MISDEMEANOR,BRONX,,OTHER,<18,BLACK,MALE,40.89983253500003,-73.84345929399994,<18,BLACK,MALE,2019-04-08 14:55:00,,2019-04-08 00:00:00
647144070,73.0,104,157.0,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,25-44,BLACK,MALE,40.670655072000045,-73.91339091999998,25-44,BLACK,FEMALE,2019-04-08 03:56:00,2019-04-08 04:37:00,2019-04-08 00:00:00
375022053,1.0,341,343.0,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,OTHER,UNKNOWN,OTHER,OTHER,40.72550889100006,-74.00210842199994,25-44,OTHER,MALE,2019-04-07 02:39:00,,2019-04-08 00:00:00
180071573,109.0,104,155.0,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,45-64,WHITE,MALE,40.76233421800004,-73.82691730799998,18-24,WHITE,FEMALE,2019-03-24 22:00:00,2019-04-01 18:00:00,2019-04-08 00:00:00
158188449,48.0,236,782.0,COMPLETED,MISDEMEANOR,BRONX,,STREET,,OTHER,OTHER,40.838881644000026,-73.878109049,UNKNOWN,OTHER,OTHER,2019-04-07 19:55:00,2019-04-07 20:46:00,2019-04-07 00:00:00
134189710,40.0,344,101.0,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,18-24,BLACK,MALE,40.80653810100006,-73.918910596,18-24,BLACK,FEMALE,2019-04-05 17:45:00,,2019-04-05 00:00:00
283562645,67.0,118,793.0,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,,OTHER,OTHER,40.65628398500007,-73.92602389499997,UNKNOWN,OTHER,OTHER,2019-04-05 12:10:00,,2019-04-05 00:00:00
846632103,103.0,578,638.0,COMPLETED,VIOLATION,QUEENS,INSIDE,RESIDENCE-HOUSE,45-64,BLACK,FEMALE,40.70655898800004,-73.772321462,45-64,BLACK,FEMALE,2019-04-04 10:00:00,,2019-04-05 00:00:00
843547035,52.0,113,729.0,COMPLETED,FELONY,BRONX,FRONT OF,STREET,UNKNOWN,OTHER,OTHER,40.864513998000064,-73.88851051099994,UNKNOWN,OTHER,OTHER,2019-04-04 20:31:00,,2019-04-04 00:00:00
155581387,75.0,578,637.0,COMPLETED,VIOLATION,BROOKLYN,,STREET,UNKNOWN,OTHER,MALE,40.66797109500004,-73.87008364899998,18-24,OTHER,MALE,2019-04-04 17:00:00,,2019-04-04 00:00:00
858833547,49.0,116,596.0,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE-HOUSE,,OTHER,OTHER,40.85616295700004,-73.84439712399995,<18,BLACK,FEMALE,2019-03-30 21:35:00,,2019-04-04 00:00:00
194535480,49.0,126,117.0,COMPLETED,FELONY,BRONX,,STREET,,OTHER,OTHER,40.861172588000045,-73.85757002999998,UNKNOWN,OTHER,OTHER,2019-04-03 15:40:00,,2019-04-03 00:00:00
834211289,44.0,341,333.0,COMPLETED,MISDEMEANOR,BRONX,INSIDE,GROCERY/BODEGA,,OTHER,OTHER,40.82602351600008,-73.91982269199997,UNKNOWN,OTHER,OTHER,2019-04-03 10:40:00,,2019-04-03 00:00:00
176478389,71.0,341,347.0,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,STREET,,OTHER,OTHER,40.66322449000006,-73.94944522199995,65+,BLACK,MALE,2019-04-03 10:00:00,,2019-04-03 00:00:00
322920593,122.0,107,214.0,COMPLETED,FELONY,STATEN ISLAND,INSIDE,,,OTHER,OTHER,40.598217490000025,-74.08266857899997,UNKNOWN,OTHER,OTHER,2019-04-02 17:00:00,2019-04-03 08:00:00,2019-04-03 00:00:00
784843889,84.0,126,198.0,COMPLETED,FELONY,BROOKLYN,FRONT OF,STREET,25-44,BLACK,MALE,40.68990577500005,-73.98642159999997,25-44,BLACK,FEMALE,2019-04-02 17:00:00,,2019-04-02 00:00:00
499295860,75.0,106,109.0,COMPLETED,FELONY,BROOKLYN,,STREET,,OTHER,OTHER,40.67127818100005,-73.86039083099996,45-64,WHITE,MALE,2019-04-02 16:45:00,2019-04-02 16:50:00,2019-04-02 00:00:00
210777015,28.0,126,198.0,COMPLETED,FELONY,MANHATTAN,,STREET,25-44,BLACK,MALE,40.80442807300005,-73.95537020999996,25-44,BLACK,FEMALE,2019-04-01 21:30:00,,2019-04-02 00:00:00
